"Package","Version","LibPath","Built"
"gdtools","0.4.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"geeM","0.10.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"geepack","1.3.13","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"generics","0.1.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"GenomeInfoDb","1.44.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"GenomeInfoDbData","1.2.14","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"GenomicAlignments","1.44.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"GenomicRanges","1.60.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"ggformula","1.0.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"ggiraph","0.9.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"ggplot2","4.0.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.2"
"ggrepel","0.9.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"ggridges","0.5.7","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"glmnet","4.1-10","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"glue","1.8.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"graphics","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"grDevices","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"grid","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"gtable","0.3.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"haven","2.5.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"here","1.0.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"highr","0.11","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"hms","1.1.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"htmltools","0.5.8.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"htmlwidgets","1.6.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"httr","1.4.7","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"IRanges","2.42.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"isoband","0.2.7","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"iterators","1.0.14","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"jquerylib","0.1.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"jsonlite","2.0.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"KernSmooth","2.23-26","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"kinship2","1.9.6.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"knitr","1.50","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"labeling","0.4.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"labelled","2.16.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"lambda.r","1.2.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"languageserver","0.3.16","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"lattice","0.22-7","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"lazyeval","0.2.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"lifecycle","1.0.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"limma","3.64.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"lintr","3.2.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"magrittr","2.0.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"MASS","7.3-65","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"Matrix","1.7-4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"MatrixGenerics","1.20.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"matrixStats","1.5.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"memoise","2.0.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"MESS","0.6.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"methods","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"mgcv","1.9-3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"mime","0.13","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"mosaicCore","0.9.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"multtest","2.64.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"mvtnorm","1.3-3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"nlme","3.1-168","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"nnet","7.3-20","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"openssl","2.3.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"parallel","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"pillar","1.11.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"pkgbuild","1.4.8","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"pkgconfig","2.0.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"pkgload","1.4.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"plyr","1.8.9","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
