"gene","gene_name","obs","mean","sd","z","p_emp","FDR_BH","HOLM"
"ENSG00000163492.16_16","CCDC141",2,8e-04,0.0282732380091094,70.7099766696645,1.99996000079998e-05,0.000139997200055999,0.000139997200055999
"ENSG00000075891.24_18","PAX2",1,4e-04,0.0199961995629154,49.9894990973104,0.000419991600167997,0.000979980400391992,0.00251994960100798
"ENSG00000149633.12_16","KIAA1755",1,4e-04,0.0199961995629154,49.9894990973104,0.000419991600167997,0.000979980400391992,0.00251994960100798
"ENSG00000140057.9_7","AK7",1,6e-04,0.024487792735154,40.8121716321655,0.000619987600247995,0.00108497830043399,0.00251994960100798
"ENSG00000112851.16_17","ERBIN",1,0.001,0.0316072773329119,31.6066451873653,0.00101997960040799,0.00142797144057119,0.00305993880122398
"ENSG00000185313.9_19","SCN10A",1,0.0014,0.0373907470018884,26.7071422763917,0.00141997160056799,0.00161996760064799,0.00305993880122398
"ENSG00000102900.13_13","NUP93",1,0.0016,0.0399683868756169,24.9797421924246,0.00161996760064799,0.00161996760064799,0.00305993880122398
